Photon   	Coherent	Incoher.	Photoel.	Tot. w/ 	Tot. wo/	
Energy   	Scatter.	Scatter.	Absorb. 	Coherent	Coherent	

1.000E-03	1.034E+00	1.558E-02	2.104E+03	2.105E+03	2.104E+03	
1.500E-03	9.194E-01	3.085E-02	6.682E+02	6.691E+02	6.682E+02	
2.000E-03	7.986E-01	4.726E-02	2.888E+02	2.897E+02	2.889E+02	
3.000E-03	5.888E-01	7.712E-02	8.604E+01	8.671E+01	8.612E+01	
4.000E-03	4.420E-01	1.000E-01	3.580E+01	3.634E+01	3.590E+01	
5.000E-03	3.446E-01	1.163E-01	1.796E+01	1.842E+01	1.807E+01	
6.000E-03	2.790E-01	1.279E-01	1.016E+01	1.056E+01	1.029E+01	
8.000E-03	1.995E-01	1.432E-01	4.092E+00	4.434E+00	4.235E+00	
1.000E-02	1.536E-01	1.531E-01	2.005E+00	2.312E+00	2.158E+00	
1.500E-02	9.238E-02	1.681E-01	5.404E-01	8.009E-01	7.085E-01	
2.000E-02	6.110E-02	1.758E-01	2.108E-01	4.478E-01	3.866E-01	
3.000E-02	3.174E-02	1.806E-01	5.535E-02	2.677E-01	2.359E-01	
4.000E-02	1.929E-02	1.797E-01	2.129E-02	2.202E-01	2.010E-01	
5.000E-02	1.293E-02	1.768E-01	1.013E-02	1.998E-01	1.869E-01	
6.000E-02	9.251E-03	1.732E-01	5.511E-03	1.880E-01	1.787E-01	
8.000E-02	5.388E-03	1.657E-01	2.110E-03	1.732E-01	1.678E-01	
1.000E-01	3.510E-03	1.585E-01	1.003E-03	1.631E-01	1.596E-01	
1.500E-01	1.590E-03	1.434E-01	2.633E-04	1.453E-01	1.437E-01	
2.000E-01	9.007E-04	1.317E-01	1.035E-04	1.327E-01	1.318E-01	
3.000E-01	4.025E-04	1.147E-01	2.903E-05	1.151E-01	1.147E-01	
4.000E-01	2.268E-04	1.028E-01	1.239E-05	1.031E-01	1.029E-01	
5.000E-01	1.453E-04	9.395E-02	6.664E-06	9.410E-02	9.396E-02	
6.000E-01	1.010E-04	8.691E-02	4.145E-06	8.702E-02	8.692E-02	
8.000E-01	5.680E-05	7.636E-02	2.090E-06	7.641E-02	7.636E-02	
1.000E+00	3.636E-05	6.866E-02	1.299E-06	6.870E-02	6.866E-02	
