Photon   	Coherent	Incoher.	Photoel.	Tot. w/ 	Tot. wo/	
Energy   	Scatter.	Scatter.	Absorb. 	Coherent	Coherent	

1.000E-03	1.189E+00	1.284E-02	2.909E+03	2.911E+03	2.909E+03	
1.500E-03	1.075E+00	2.570E-02	9.525E+02	9.536E+02	9.526E+02	
2.000E-03	9.509E-01	3.982E-02	4.196E+02	4.206E+02	4.196E+02	
3.000E-03	7.237E-01	6.658E-02	1.280E+02	1.288E+02	1.280E+02	
4.000E-03	5.532E-01	8.816E-02	5.401E+01	5.465E+01	5.410E+01	
5.000E-03	4.339E-01	1.043E-01	2.738E+01	2.792E+01	2.748E+01	
6.000E-03	3.507E-01	1.162E-01	1.561E+01	1.608E+01	1.573E+01	
8.000E-03	2.473E-01	1.322E-01	6.370E+00	6.750E+00	6.502E+00	
1.000E-02	1.877E-01	1.426E-01	3.151E+00	3.482E+00	3.294E+00	
1.500E-02	1.111E-01	1.581E-01	8.626E-01	1.132E+00	1.021E+00	
2.000E-02	7.370E-02	1.662E-01	3.400E-01	5.799E-01	5.062E-01	
3.000E-02	3.863E-02	1.720E-01	9.032E-02	3.009E-01	2.623E-01	
4.000E-02	2.356E-02	1.718E-01	3.500E-02	2.304E-01	2.068E-01	
5.000E-02	1.583E-02	1.695E-01	1.673E-02	2.020E-01	1.862E-01	
6.000E-02	1.135E-02	1.663E-01	9.141E-03	1.868E-01	1.754E-01	
8.000E-02	6.631E-03	1.593E-01	3.520E-03	1.695E-01	1.629E-01	
1.000E-01	4.330E-03	1.526E-01	1.681E-03	1.586E-01	1.543E-01	
1.500E-01	1.969E-03	1.382E-01	4.432E-04	1.406E-01	1.386E-01	
2.000E-01	1.117E-03	1.269E-01	1.747E-04	1.282E-01	1.271E-01	
3.000E-01	4.996E-04	1.106E-01	4.923E-05	1.111E-01	1.106E-01	
4.000E-01	2.816E-04	9.917E-02	2.105E-05	9.947E-02	9.919E-02	
5.000E-01	1.805E-04	9.060E-02	1.134E-05	9.080E-02	9.062E-02	
6.000E-01	1.254E-04	8.382E-02	7.057E-06	8.395E-02	8.382E-02	
8.000E-01	7.056E-05	7.365E-02	3.560E-06	7.372E-02	7.365E-02	
1.000E+00	4.517E-05	6.623E-02	2.213E-06	6.628E-02	6.623E-02	
