Photon   	Coherent	Incoher.	Photoel.	Tot. w/ 	Tot. wo/	
Energy   	Scatter.	Scatter.	Absorb. 	Coherent	Coherent	

1.000E-03	1.022E+00	1.555E-02	2.039E+03	2.040E+03	2.039E+03	
1.500E-03	9.075E-01	3.077E-02	6.454E+02	6.464E+02	6.454E+02	
2.000E-03	7.866E-01	4.709E-02	2.784E+02	2.792E+02	2.784E+02	
3.000E-03	5.780E-01	7.680E-02	8.272E+01	8.337E+01	8.280E+01	
4.000E-03	4.333E-01	9.957E-02	3.436E+01	3.489E+01	3.446E+01	
5.000E-03	3.379E-01	1.158E-01	1.721E+01	1.767E+01	1.733E+01	
6.000E-03	2.738E-01	1.273E-01	9.729E+00	1.013E+01	9.856E+00	
8.000E-03	1.962E-01	1.425E-01	3.913E+00	4.252E+00	4.056E+00	
1.000E-02	1.514E-01	1.525E-01	1.915E+00	2.219E+00	2.068E+00	
1.500E-02	9.119E-02	1.675E-01	5.154E-01	7.741E-01	6.829E-01	
2.000E-02	6.028E-02	1.753E-01	2.008E-01	4.364E-01	3.761E-01	
3.000E-02	3.128E-02	1.800E-01	5.264E-02	2.640E-01	2.327E-01	
4.000E-02	1.900E-02	1.791E-01	2.023E-02	2.183E-01	1.993E-01	
5.000E-02	1.273E-02	1.762E-01	9.618E-03	1.986E-01	1.858E-01	
6.000E-02	9.107E-03	1.726E-01	5.232E-03	1.870E-01	1.779E-01	
8.000E-02	5.302E-03	1.652E-01	2.002E-03	1.725E-01	1.672E-01	
1.000E-01	3.453E-03	1.580E-01	9.516E-04	1.624E-01	1.590E-01	
1.500E-01	1.564E-03	1.430E-01	2.497E-04	1.448E-01	1.432E-01	
2.000E-01	8.856E-04	1.312E-01	9.812E-05	1.322E-01	1.313E-01	
3.000E-01	3.957E-04	1.143E-01	2.750E-05	1.147E-01	1.144E-01	
4.000E-01	2.230E-04	1.025E-01	1.173E-05	1.027E-01	1.025E-01	
5.000E-01	1.429E-04	9.364E-02	6.310E-06	9.379E-02	9.364E-02	
6.000E-01	9.926E-05	8.662E-02	3.924E-06	8.672E-02	8.662E-02	
8.000E-01	5.584E-05	7.610E-02	1.979E-06	7.615E-02	7.610E-02	
1.000E+00	3.575E-05	6.843E-02	1.230E-06	6.847E-02	6.843E-02	
